antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len
frozenset({'docker'}),frozenset({'kubernetes'}),0.04876893939393939,0.061553030303030304,0.03361742424242424,0.6893203883495146,11.19880507841673,1.0,0.03061554823806244,3.0206261837121215,0.9573959436058862,0.43827160493827155,0.6689428154360115,0.6177371172516803,1,1
frozenset({'kubernetes'}),frozenset({'docker'}),0.061553030303030304,0.04876893939393939,0.03361742424242424,0.5461538461538461,11.198805078416727,1.0,0.03061554823806244,2.095932845403184,0.9704381688719603,0.43827160493827155,0.5228854768924455,0.6177371172516803,1,1
frozenset({'css'}),frozenset({'javascript'}),0.026041666666666668,0.09043560606060606,0.023674242424242424,0.9090909090909091,10.052356020942408,1.0,0.02131914851641414,10.00520833333333,0.9245989304812834,0.25510204081632654,0.9000520562207184,0.5854355069014755,1,1
frozenset({'ai'}),frozenset({'machine learning'}),0.04876893939393939,0.10085227272727272,0.043087121212121215,0.883495145631068,8.760289894708055,1.0,0.038168662835743807,7.717684659090913,0.9312653498815769,0.40444444444444455,0.8704274605438734,0.6553625962897125,1,1
frozenset({'r'}),frozenset({'data science'}),0.057291666666666664,0.06912878787878787,0.029356060606060608,0.5123966942148761,7.4122042341220435,1.0,0.025395557133838384,1.9090748587570625,0.9176617358759579,0.30243902439024395,0.4761860723203552,0.4685271142307258,1,1
frozenset({'cisco'}),frozenset({'network engineering'}),0.036458333333333336,0.09848484848484848,0.026041666666666668,0.7142857142857143,7.252747252747254,1.0,0.022451073232323232,3.1553030303030303,0.8947420147420148,0.2391304347826087,0.6830732292917167,0.48935439560439564,1,1
frozenset({'vulnerability management'}),frozenset({'cybersecurity'}),0.03314393939393939,0.109375,0.026041666666666668,0.7857142857142858,7.183673469387756,1.0,0.022416548295454548,4.156250000000002,0.8903036238981391,0.22357723577235775,0.7593984962406016,0.511904761904762,1,1
frozenset({'r'}),frozenset({'tableau'}),0.057291666666666664,0.07670454545454546,0.030776515151515152,0.5371900826446281,7.0033670033670035,1.0,0.026381983901515152,1.9949776785714286,0.909307267318317,0.2981651376146789,0.4987412587412587,0.46921232527293133,1,1
frozenset({'data science'}),frozenset({'machine learning'}),0.06912878787878787,0.10085227272727272,0.04261363636363636,0.6164383561643836,6.112290179432762,1.0,0.03564184099517906,2.344206574675325,0.8985079688029839,0.33457249070631967,0.5734164340280032,0.5194867837159947,1,1
frozenset({'data mining'}),frozenset({'data visualization'}),0.05587121212121212,0.11837121212121213,0.038825757575757576,0.6949152542372882,5.8706440677966105,1.0,0.03221221447428834,2.8897832491582496,0.8787582258972039,0.28671328671328666,0.6539532851499208,0.5114576271186441,1,1
frozenset({'vulnerability management'}),frozenset({'security'}),0.03314393939393939,0.13257575757575757,0.02462121212121212,0.7428571428571429,5.6032653061224496,1.0,0.02022712924701561,3.3733164983164987,0.8496948692835079,0.174496644295302,0.7035558328134748,0.4642857142857143,1,1
frozenset({'network security'}),frozenset({'network engineering'}),0.046875,0.09848484848484848,0.025094696969696968,0.5353535353535354,5.435897435897436,1.0,0.020478219696969696,1.940217391304348,0.8561707392514692,0.20866141732283464,0.484593837535014,0.3950806138306138,1,1
frozenset({'tableau'}),frozenset({'data visualization'}),0.07670454545454546,0.11837121212121213,0.04924242424242424,0.6419753086419753,5.423407407407407,1.0,0.040162814221763085,2.4624804075235107,0.8833727810650888,0.33766233766233766,0.5939053984166766,0.5289876543209876,1,1
frozenset({'statistics'}),frozenset({'machine learning'}),0.04876893939393939,0.10085227272727272,0.026515151515151516,0.5436893203883495,5.390947627512649,1.0,0.021596693138774107,1.9704726789168279,0.8562628884306337,0.21538461538461542,0.49250755379683736,0.4033000592552076,1,1
frozenset({'r'}),frozenset({'data visualization'}),0.057291666666666664,0.11837121212121213,0.034564393939393936,0.6033057851239669,5.096727272727272,1.0,0.02778270991161616,2.222439236111111,0.8526451222281087,0.24496644295302009,0.5500439410213847,0.4476528925619835,1,1
frozenset({'windows'}),frozenset({'linux'}),0.059185606060606064,0.12878787878787878,0.036458333333333336,0.616,4.783058823529412,1.0,0.028835944674012858,2.2687815656565657,0.8406852332368185,0.240625,0.5592347826086956,0.4495441176470588,1,1
frozenset({'power bi'}),frozenset({'data visualization'}),0.07670454545454546,0.11837121212121213,0.043087121212121215,0.5617283950617284,4.745481481481482,1.0,0.03400751119146006,2.0116037131882205,0.8548436179205411,0.28348909657320875,0.502884194613518,0.4628641975308642,1,1
frozenset({'statistics'}),frozenset({'data visualization'}),0.04876893939393939,0.11837121212121213,0.02462121212121212,0.5048543689320388,4.265009708737864,1.0,0.018848373651285583,1.780544414735591,0.8047823256882491,0.17275747508305647,0.4383740210442889,0.3564271844660194,1,1
frozenset({'r'}),frozenset({'python'}),0.057291666666666664,0.23579545454545456,0.05397727272727273,0.9421487603305786,3.9956188389923333,1.0,0.04046815814393939,13.209821428571447,0.7952893282931084,0.22574257425742575,0.9242987495775601,0.5855322114905905,1,1
frozenset({'spark'}),frozenset({'python'}),0.02793560606060606,0.23579545454545456,0.023674242424242424,0.847457627118644,3.594037165611599,1.0,0.01708715349517906,5.009785353535352,0.742503653190453,0.09861932938856016,0.8003906496125007,0.47392961677217343,1,1
frozenset({'data mining'}),frozenset({'business unit'}),0.05587121212121212,0.17897727272727273,0.034564393939393936,0.6186440677966101,3.45655098197471,1.0,0.024564716769972447,2.15290404040404,0.7527514048996304,0.1725768321513002,0.5355111137176705,0.40588288045915155,1,1
frozenset({'r'}),frozenset({'sql'}),0.057291666666666664,0.23768939393939395,0.046875,0.8181818181818182,3.442231075697211,1.0,0.033257378472222224,4.192708333333335,0.752608962553714,0.18893129770992367,0.7614906832298137,0.5076964867801521,1,1
frozenset({'tableau'}),frozenset({'sql'}),0.07670454545454546,0.23768939393939395,0.05965909090909091,0.7777777777777778,3.2722443559096943,1.0,0.041427233987603305,3.4303977272727275,0.752087912087912,0.23420074349442377,0.7084886128364389,0.5143868968570164,1,1
frozenset({'data mining'}),frozenset({'sql'}),0.05587121212121212,0.23768939393939395,0.04261363636363636,0.7627118644067796,3.2088594773448578,1.0,0.02933364181588613,3.212594696969697,0.7290984063301014,0.16981132075471694,0.6887251289609432,0.470997366466338,1,1
frozenset({'tableau'}),frozenset({'business unit'}),0.07670454545454546,0.17897727272727273,0.043560606060606064,0.5679012345679013,3.173035469331766,1.0,0.029832235709366394,1.9000811688311692,0.7417391304347826,0.2053571428571429,0.4737066940065788,0.40564373897707234,1,1
frozenset({'data science'}),frozenset({'python'}),0.06912878787878787,0.23579545454545456,0.05160984848484849,0.7465753424657535,3.166199042746328,1.0,0.03530959452479339,3.015509828009829,0.7349715810988641,0.20373831775700937,0.6683811172786068,0.48272542223689285,1,1
frozenset({'data warehouse'}),frozenset({'sql'}),0.039299242424242424,0.23768939393939395,0.029356060606060608,0.746987951807229,3.142706283300533,1.0,0.02001504749196511,3.01294191919192,0.7096933178587896,0.118546845124283,0.668098480880042,0.43524696395142326,1,1
frozenset({'critical thinking'}),frozenset({'problem solving'}),0.032196969696969696,0.26515151515151514,0.026515151515151516,0.823529411764706,3.105882352941177,1.0,0.01797807621671258,4.164141414141416,0.700587084148728,0.09790209790209789,0.7598544572468163,0.46176470588235297,1,1
frozenset({'data visualization'}),frozenset({'data analysis'}),0.11837121212121213,0.2902462121212121,0.09990530303030302,0.8439999999999999,2.9078760195758564,1.0,0.0655485070879247,4.549703768453764,0.7441980034717803,0.3236196319018405,0.7802054703135421,0.5941044045676998,1,1
frozenset({'statistics'}),frozenset({'python'}),0.04876893939393939,0.23579545454545456,0.03314393939393939,0.6796116504854369,2.882208445432214,1.0,0.02164444516184573,2.3852444903581267,0.6865249235582735,0.1318267419962335,0.5807557656909806,0.4100869497407104,1,1
frozenset({'machine learning'}),frozenset({'python'}),0.10085227272727272,0.23579545454545456,0.06818181818181818,0.676056338028169,2.8671304938062105,1.0,0.044401310692148754,2.3590662055335967,0.7242627698788836,0.2539682539682539,0.576103460914184,0.48260648226709657,1,1
frozenset({'data mining'}),frozenset({'data analysis'}),0.05587121212121212,0.2902462121212121,0.04640151515151515,0.8305084745762712,2.8613929825531565,1.0,0.03018510746671258,4.187547348484848,0.6890160276748613,0.15481832543443919,0.7611967300234055,0.4951889844333232,1,1
frozenset({'tableau'}),frozenset({'data analysis'}),0.07670454545454546,0.2902462121212121,0.06297348484848485,0.8209876543209876,2.8285904174974323,1.0,0.04071028107782369,3.9648315047021936,0.7001735106998265,0.20716510903426794,0.747782472265461,0.5189766982861056,1,1
frozenset({'ai'}),frozenset({'python'}),0.04876893939393939,0.23579545454545456,0.032196969696969696,0.6601941747572816,2.7998596327055796,1.0,0.020697475464876033,2.2489448051948053,0.6757971481275438,0.12757973733583491,0.5553470242177068,0.3983701797481187,1,1
frozenset({'power bi'}),frozenset({'sql'}),0.07670454545454546,0.23768939393939395,0.050189393939393936,0.6543209876543209,2.7528404898922822,1.0,0.03195753701790633,2.205255681818181,0.6896371552975326,0.18996415770609318,0.546537842190016,0.4327381830701883,1,1
